,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,time
NLR,72.25499721505068,0.01795335371324201,0.02488775897907214,0.03221855125314096,-0.08979306813571025,0.1280163387699967,-0.8228707599314018,-0.2324979831081183,-0.036468410590167026
MLR,27.054410251389324,0.007431504722146977,0.02027067718704801,-0.5420528212745618,0.02708480125324937,0.4616975972890758,-0.1372476263713404,-0.12123922011438408,-0.013808864904364808
PLR,127.15382688739558,0.008632519751692226,0.006377433985467538,0.17333123382263602,-0.0037145906481176835,0.21164931356202477,0.21362942682131844,0.17480888112210805,-0.06359335709952198
SII,96.06696978176774,0.010257710396023405,0.012249207121717466,0.3279299019431812,-0.07882754618052563,0.05494552891804438,-0.703647820189764,-0.159602866086962,-0.04812110902950805
CRP,-391.7830479304897,-0.005660358412893721,0.027355077754395017,0.4531482136831561,-0.19389505263507084,-0.29649563226406,-0.021534064017598675,-0.30852294354187987,0.19456096847295706
BloodMercury,96.08119768665118,0.03265998587706711,0.02941508526254493,0.04966007340243648,0.6651982182546645,0.09408245844791417,0.5578387670778648,0.9672307629281345,-0.048825737453125635
