,Intercept,"bs(time, degree=3, df=4, include_intercept=False)[0]","bs(time, degree=3, df=4, include_intercept=False)[1]","bs(time, degree=3, df=4, include_intercept=False)[2]","bs(time, degree=3, df=4, include_intercept=False)[3]",amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5
NLR,0.0,4.675329185840992e-07,9.291963194821979e-16,2.9510001330575444e-18,3.18651496880206e-61,3.1637433172018055e-57,0.0,0.3934966700003667,0.07440194825757487,2.6477874284780037e-07,1.1357653231952241e-114,3.28620212072989e-06
MLR,0.0,1.477284644742086e-10,2.3952668770229696e-20,0.0010021260518977661,5.1975268276722754e-18,3.1987141387002076e-15,0.0,1.1588043664240357e-184,0.361525700956572,1.4104439453649636e-70,0.00038201862055920675,0.00543488946447002
PLR,0.0,5.782012493440252e-11,1.6755080071316803e-37,1.1071173026993432e-100,7.27972196297843e-182,7.150194919124669e-27,7.7747377740766675e-118,1.0664711875213694e-17,0.007168030483708876,1.2608072957894784e-19,3.7241196873292497e-19,2.1051066072071207e-05
SII,0.0,0.0004068679925283161,6.397689106590786e-27,1.655282304626132e-35,2.216958200103644e-74,3.551438473803428e-18,2.0106626075548037e-153,4.0921518910168033e-35,0.22355181383023529,0.044380951814872276,2.765790235724209e-79,0.0006477337483113012
CRP,3.9375076728513427e-10,0.03055281773704989,2.493627561530002e-48,8.945622504613439e-154,1.4687622650745358e-258,0.6910910863735196,1.5910373903359132e-114,2.0937476872326078e-17,0.3169766360730876,1.76970129252678e-06,0.09564169966028722,6.8976392976695e-20
BloodMercury,0.011317555466678677,0.002653819870885223,0.008979094944649163,0.01836426847236693,2.205060981617755e-29,4.216898669068937e-63,2.021887188263676e-247,5.814578076432698e-06,1.8600491413252778e-13,0.00019135722304339096,1.382329513907899e-20,5.241128739200868e-222
