,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,time
NLR,7.032638290878163e-78,1.318601038530232e-82,0.0,0.13230521873746162,0.04000900674108068,8.916134481143105e-06,1.4132320676604522e-141,2.842420535300373e-08,1.3191289545202094e-79
MLR,6.335243090501165e-13,3.1392414400786983e-16,0.0,2.474447039385914e-145,0.5325674464582489,8.809030784203113e-59,1.3715054650948814e-05,0.003665134874972205,1.8668752977701786e-13
PLR,4.0518736438985133e-261,2.430862174034122e-22,5.88121563878539e-49,2.523979989800598e-17,0.9308596382304664,3.7793769874108956e-14,4.110976074391899e-12,1.8807320667431114e-05,3.0147542359561325e-262
SII,3.246921794361847e-146,3.998578601166272e-30,3.482265967013887e-169,2.699960371890149e-56,0.06461328613969905,0.05068412670544102,3.577052388009617e-111,9.467510363184915e-05,2.6020395150580466e-147
CRP,0.0,7.91752760499387e-08,0.0,9.711316775257546e-76,0.00013306256871495814,7.543053759195941e-19,0.5653864368496578,2.7961652438241144e-10,0.0
BloodMercury,1.2868721006610777e-89,2.0964560104334783e-168,0.0,0.05508505267726908,7.478529655526968e-36,0.009344374921542576,7.412284211493023e-45,5.686993388772992e-81,3.138521539029353e-93
