,Intercept,"bs(time, degree=3, df=4, include_intercept=False)[0]","bs(time, degree=3, df=4, include_intercept=False)[1]","bs(time, degree=3, df=4, include_intercept=False)[2]","bs(time, degree=3, df=4, include_intercept=False)[3]",amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,drink_Former Drinker,drink_Lifetime Abstainer
NLR,1.143889730692111e-270,7.291655339495177e-07,7.291655339355999e-07,7.291655339370737e-07,3.610963207910829e-06,1.3399875401245344e-06,4.732941075620131e-13,1.046867075436893e-06,0.30639539441560754,1.4794674222814987e-11,1.8690685431020822e-32,0.18794202073302987,0.024484291079073472,0.2482644533614681
MLR,6.611325577877643e-261,3.861261425715439e-06,3.861261425647087e-06,3.8612614256558965e-06,1.1098654473080883e-07,0.3114168599791851,2.4123821230738367e-103,4.2871565535642665e-90,0.15266483082809287,3.1165683355709493e-52,0.02761795676346372,0.8383207127181511,0.44888535842355626,0.9171503963738318
PLR,0.0,2.9419719331986e-31,2.9419719330394985e-31,2.94197193305727e-31,9.232385724208413e-63,0.3744877742264281,7.043261795878885e-15,1.400100135430774e-13,0.0593221312363866,1.2915321613295733e-15,0.0010584633340961656,0.000247589078362522,0.1589714922866684,0.5178383903500583
SII,2.169248505641092e-181,1.4394909487686367e-15,1.439490948734073e-15,1.4394909487385119e-15,3.038602875114967e-21,0.0007898564355142738,0.6202269195674198,1.116022060229798e-06,0.21761681810687467,0.000754446789937028,1.0441289534493787e-17,0.16671581639678504,0.012911377960434992,0.17924364710007507
CRP,0.1275919348460318,0.42171168559695904,0.4217116855970241,0.42171168559702255,1.3179148398612097e-281,0.0007316866326134646,0.15247379818459206,1.06180903658208e-10,0.2986619293994722,0.00707041518234743,0.02387550576458625,4.7623425185445596e-09,4.892498648897778e-06,0.1981349898491776
BloodMercury,0.6933574045192485,0.10501537903636624,0.10501537903636936,0.10501537903636554,2.837262877541066e-12,7.342360800573335e-31,1.2574916692086782e-26,8.51727765062683e-06,4.485876487703327e-13,6.544147517424744e-10,1.4315885781748506e-22,1.2560655947705484e-133,7.421932940019334e-12,3.629857729775045e-09
