,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,drink_Former Drinker,drink_Lifetime Abstainer,time
NLR,0.00010636867593898348,0.002051596688715883,2.4087604047648833e-07,1.76261815647094e-06,0.08793739127572683,1.0579577714786153e-09,2.264151348871574e-39,0.06173799219381379,0.04401914506105304,0.0762049993941598,0.00010114575650317309
MLR,8.776028356788975e-07,0.08807219905798334,1.5005711765713373e-63,1.5460574780377317e-80,0.8007340890667788,2.067110394826215e-41,0.00810497988733681,0.5257983727720641,0.5913882081579912,0.15525908299909852,1.7627281668039327e-06
PLR,5.367983504256187e-45,0.09539952760104578,0.00017812496219808655,2.220215635261535e-15,0.606268737512461,2.278543400551588e-13,0.0599933915755184,0.0004891186342835665,0.07228124193125822,0.208030220934733,1.8744869046435505e-45
SII,1.0668364705493925e-25,0.004109447149562661,0.03688812669988743,1.077545549787753e-15,0.49493556318776244,1.5818310410427915e-08,6.259486228790672e-25,0.2986882260781413,0.15130023796151076,0.5706234559734471,1.2616087443529018e-25
CRP,0.0,6.184504999513938e-05,0.6681589920962439,1.8481427718255833e-30,0.0012525688831106579,4.3040949701457133e-10,0.7914547673179207,1.755205950703567e-08,4.02766717837503e-06,4.944741986729225e-06,0.0
BloodMercury,2.780498331053921e-20,2.9519543755906576e-56,2.2724567950981663e-57,0.35803592678509955,1.5633503766129863e-36,1.9353952588822705e-20,3.102661212132809e-57,5.8792008711644674e-74,8.522411744161445e-25,4.2860392523754806e-30,2.6051317820153797e-21
