,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,drink_Former Drinker,drink_Lifetime Abstainer,time
NLR,28.912968165911934,-0.0060778497051004335,0.00606200910210565,-0.17649015754954153,-0.12139063397904154,0.29599223382805384,-0.7744818925974356,-0.14028245088875768,0.11843600442637783,0.0745985730538216,-0.014441010307027031
MLR,-37.68295311932012,0.0034479708482548724,0.020490932306195715,-0.720018312077689,0.018496159793532793,0.6751138113244325,-0.15700718716086917,-0.04922049600094053,-0.032253529107739556,0.06122893133358007,0.018231821293390838
PLR,104.19578192056574,0.003251155442998014,0.004375354305049583,0.29014335533126107,-0.0371856728478943,0.35770874093785043,0.10807348168939854,0.26334646778981685,-0.10439521333837543,-0.05243207562365047,-0.052160021535050526
SII,77.87907775856014,-0.005630208534922461,-0.0024436964295550946,0.29502781536582506,-0.048631540922332475,0.27474462225244844,-0.6018909063151444,-0.07825248062357074,0.08388540077640176,-0.023744913642108983,-0.03871522928162196
CRP,-439.5939330567867,-0.008689746259455912,0.0005694880893545961,0.47414052640304283,-0.25885337003275594,-0.3438837863646463,0.01729792174447232,-0.47885341549373694,0.29892196554025247,0.21492089332097158,0.21877664457544094
BloodMercury,83.88169875156326,0.03538533965211508,0.02199832669934844,0.03826128055213195,1.0783605754353052,0.5211845301840119,1.0698586952439535,1.811365015756484,-0.6728751074419067,-0.5511036184532183,-0.04294558901513483
