,Intercept,"bs(time, degree=3, df=4, include_intercept=False)[0]","bs(time, degree=3, df=4, include_intercept=False)[1]","bs(time, degree=3, df=4, include_intercept=False)[2]","bs(time, degree=3, df=4, include_intercept=False)[3]",amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,smoke_Current non-daily smoker,smoke_Former smoker,smoke_Never smoker
NLR,2.126585402991272,0.3422066017118076,-0.18429103583730586,0.09100124044555721,0.005245544261025583,-0.0058241884865134885,0.004716960565774448,-0.057231818071887916,-0.030343749527494485,0.18929603447605856,-0.396504405881073,-0.09660515366416163,-0.06541227629840735,-0.019292685364188003,-0.09234094150641653
MLR,0.22324478000248338,-0.005542246235067719,-0.043669483583942285,0.01801037938778965,0.005324209792980843,-0.0003644948393852422,0.0012639249864508538,-0.042690926431708624,0.005679340351379498,0.04188762493467984,-0.004331751484557388,-0.00486196007493274,0.010423295667485937,0.017756330135732263,0.012370958060625834
PLR,114.77830980366411,-3.504129769792982,-19.879511465360782,-23.92311531532931,-20.18170527933557,-0.05939516767385329,0.13838027887735366,6.036728393161223,2.6767070915214743,9.630808028974164,5.1379655176496275,4.091333435087407,7.817726943617495,14.26333814075476,13.606053301897987
SII,624.9500540700085,56.24975032344707,-112.06667572972881,-65.6401724949757,-61.47944011793633,-1.2498882195035717,0.02248380159024538,51.96300207107425,-12.558266758967903,33.81238636355691,-102.14772443453214,-26.82687295310321,-27.598529265239577,-23.099725635774444,-45.96652206544713
CRP,0.2848341878303938,1.307119929563179,-2.7337950620701315,5.617963805213476,4.338065074035857,-0.022577402032917984,0.006633769830029559,0.6549247655077084,-0.269816245199882,-0.3049113593683593,0.25545254544409374,-1.0847385870749011,-0.2455256842446863,-0.1438316015025615,-0.5074983786727941
BloodMercury,-0.09132207477528857,0.20691562427970037,0.23003198540367628,-0.36565866743791103,-0.5595585600308538,0.02368829510793883,0.012411629820156898,-0.22087403233363254,0.5926072286192012,0.29231710381180226,0.649539284661351,2.2110424463241287,0.19312823223923764,0.3333083909032503,0.38735924703039176
