,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,smoke_Current non-daily smoker,smoke_Former smoker,smoke_Never smoker,time
NLR,17.849974903640035,-0.004804415990216769,0.006383343759452524,-0.0938008703338277,-0.022832984463798583,0.31484344696497574,-0.7400469357952318,-0.18457181416240542,-0.12074767387397076,-0.1155574023520457,-0.1947643216432979,-0.008898158374545011
MLR,-22.870017778069375,-0.00784675405567403,0.014621036633099884,-0.6837673454864867,0.07979658361852468,0.6086989892443464,-0.12093150414706405,-0.09681268144067917,0.2069745224564336,0.27065253585086063,0.17729735663035773,0.011051116466420607
PLR,92.80836504279397,-0.0038783422232980735,8.473751241678625e-06,0.23612646709780588,-0.009626425279224813,0.33735790612765015,0.11841745448808129,0.1398116392171768,0.3549165938456651,0.6032955670293089,0.6015848875993182,-0.04655470673800963
SII,57.999961861817944,-0.005435486085526056,-0.0027669804208714037,0.3509903705465685,-0.04695869349702337,0.23301887310823516,-0.6474125310820374,-0.14349520912998356,-0.18613906719926357,-0.17513255435151176,-0.2735524960481506,-0.028719963956295554
CRP,-465.67371263166615,-0.022280952512944905,0.0005029003307800972,0.529570058725444,-0.13508961536311156,-0.3166329494029237,0.02674125621448759,-0.5272630509727303,-0.13782859451636276,-0.06197151854055586,-0.20817964212219423,0.23194491468936723
BloodMercury,114.49042406517582,0.029914909226497997,0.01617495617455377,-0.026858084217815843,1.0413101368681812,0.45169699482281617,0.9819517462709629,1.4789707848770106,0.4647954103781401,0.4339806534634785,0.39718257517250777,-0.058144408697738986
