,const,amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,smoke_Current non-daily smoker,smoke_Former smoker,smoke_Never smoker,time
NLR,0.0002765636906786803,0.00013106873345939912,7.676138002758356e-16,0.000448181927713287,0.6731824030993498,5.494336991260395e-18,2.9324893708486283e-65,0.0003759911885882753,0.10072997838217178,0.007047343831408928,3.016502267900441e-07,0.0002846071769561203
MLR,5.035835644367181e-06,9.129187241834361e-10,2.896181674090252e-73,2.6239254156096746e-139,0.15090289501709278,1.7321520056578522e-59,0.005395844075031515,0.06980956536645354,0.005241262743015407,4.5226869419898477e-10,3.934988505160836e-06,1.0120290160360203e-05
PLR,3.1174553710420183e-80,0.0019871780633740964,0.9914639310148462,7.789194916411722e-19,0.8612153300316793,6.020797074331156e-20,0.005538199999158448,0.007698985028593822,1.5936789227344575e-06,2.2313604260460773e-44,2.6371092630137453e-55,7.285619614349937e-81
SII,2.01045036689841e-32,1.507815871216665e-05,0.00048285435847675323,2.8826423219617002e-39,0.3883026732545154,2.0193396831495528e-10,7.68465916125338e-51,0.005915860947733704,0.011826219079213636,4.608387582166624e-05,7.783749653955571e-13,6.778849118933512e-32
CRP,0.0,2.090349065621861e-46,0.5974135600188224,1.8908305967055642e-61,0.037477421898610676,5.404120536081231e-13,0.6020721123844677,1.0624434177306789e-17,0.12036609681707089,0.2243973537124262,4.374698221207411e-06,0.0
BloodMercury,2.7892942607181676e-81,6.826355704211504e-68,1.4987296268425979e-53,0.4072460931540347,1.0517540297895615e-54,1.8212223461934823e-22,9.913954925658577e-76,2.430043484724335e-115,3.2516721551940987e-07,1.4320199605506522e-16,3.093179166481779e-17,2.4079797787132026e-84
