,Intercept,"bs(time, degree=3, df=4, include_intercept=False)[0]","bs(time, degree=3, df=4, include_intercept=False)[1]","bs(time, degree=3, df=4, include_intercept=False)[2]","bs(time, degree=3, df=4, include_intercept=False)[3]",amalgam_surfaces,RIDAGEYR,female,race_2,race_3,race_4,race_5,smoke_Current non-daily smoker,smoke_Former smoker,smoke_Never smoker
NLR,0.0,5.9310258573681203e-08,0.0004302680901812142,0.06527031381568112,0.8675976649092576,6.641586420261446e-11,1.5679741437769565e-22,0.0002570477282413403,0.34883620333576637,2.8659557528144493e-18,7.747815262460441e-56,0.0017782426231495163,0.13045441616191028,0.4424688058101959,3.566010112604274e-05
MLR,0.0,0.385501695010507,1.7298885131613567e-16,0.0003123774164498312,0.094517452603737,5.380099890969708e-05,8.634188504135182e-146,1.2139684873753156e-157,0.0831526186823905,1.552958085433983e-80,0.08843692513624654,0.12012692540814437,0.017254826991804566,2.9177770507126597e-12,4.449968847905666e-08
PLR,0.0,0.1918293495190409,4.601995921888239e-19,5.446917614111114e-30,3.856640675067172e-51,0.11742749540347691,1.600794570302902e-11,1.3483142559028232e-19,0.05206707598945764,1.9849202670858908e-25,1.5390103456150746e-06,0.0018645177429797435,2.156963408081208e-05,1.689747282046706e-40,2.4837092195898704e-46
SII,0.0,0.007407347432802416,1.2663943383716488e-10,6.475779726298004e-05,4.387305712056159e-09,2.5446056328548173e-05,0.8886493839000202,2.2148115965067682e-23,0.2440121458824274,2.8567966630638512e-06,3.182451783617054e-34,0.009119271686969539,0.05521314116527733,0.005728924751388354,6.333151245213263e-10
CRP,0.08491978420280147,4.3311128582898155e-06,5.344492279375964e-31,3.8515637015282425e-138,4.3776452229189416e-200,2.1636769807032044e-08,0.002328288836601384,2.0412690803724177e-20,0.06489420838397063,0.0018083342927970806,0.02442891739791948,7.728858625068618e-15,0.2098377545812978,0.20427052922540181,4.812750595291738e-07
BloodMercury,0.398080020208877,0.00014192450655897457,0.0012596659507282126,0.0012727221312225435,2.747800511424666e-27,3.423292260193885e-32,7.985049294475021e-24,9.423691135272738e-09,6.794100064516327e-14,7.658167577660486e-08,2.9141674692162567e-25,9.272519912679595e-189,0.07353649650112294,7.739741055280632e-08,2.831351123427094e-12
